eventID,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,taxonID,recordedBy,recordedByID,dateIdentified,individualCount,organismQuantity,organismQuantityType,measurementUnitID,lifeStage,establishmentMeans,occurrenceStatus,preparations,scientificNameID,basisOfRecord,datasetID,eventDate,identificationReferences,verbatimIdentification,georeferenceVerificationStatusProperty,dispostion
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128690:adult,Oncaea,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,533.3333333333333,3.6968028282919883,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128690,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Oncaea spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104196:adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,666.6666666666667,4.621003535364987,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104196,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Paracalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:347746:adult,Parvocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Parvocalanus,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,466.6666666666667,3.2347024747554904,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:347746,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Parvocalanus spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:883:larvae,Polychaeta,Animalia,Annelida,Polychaeta,,,,Class,60,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,larvae,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:883,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Polychaete Larvae,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104209:adult,Pontella,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104209,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pontella spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:104209:adult,Pontella,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,266.66666666666663,1.8484014141459941,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104209,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pontella spp.,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:325345:adult,Pteropoda,Animalia,Mollusca,Gastropoda,Pteropoda,,,Order,100,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:325345,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Pteropods,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:10194:eggs,Actinopterygii,Animalia,Chordata,,,,,Gigaclass,48,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,600,4.158903181828488,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,eggs,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:10194,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Round Fish Eggs,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:137233:adult,Salpa,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,133.33333333333331,0.9242007070729971,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:137233,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Salps,verified by contributor,in collection
IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00:128722:adult,Sapphirina,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Sapphirina,Genus,180,Natlia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2022-01-17,66.66666666666666,0.46210035353649853,Individuals per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,adult,native | uncertain,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128722,PreservedSpecimen,IMaRS_MBON_zooplankton:SV18067,2018-03-09,WoRMS,Saphirinna spp.,verified by contributor,in collection
