occurrenceID,eventID,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,1009,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,400,,,milliliter,,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,80,,,,,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,0,,,,,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,48.5385882456665,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,5,,,milliliter,,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,5,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,0.5,,,,,
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,0.824016666666667,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,500,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
,WS18218:stnMR:500um:2018-08-06T22:45:00Z,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,244.755,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,999,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,1000,,,milliliter,,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,200,,,,,
