"eventID","occurrenceID","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"WS18008:stnMR:200um:2018-01-09",,"0.5","Sampling device aperture diameter","http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/","metres","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/"
"WS18008:stnMR:200um:2018-01-09",,"0.785398163397448","Sampling device aperture surface area","http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/","per square metre","http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/"
"WS18008:stnMR:200um:2018-01-09",,"0","flow meters","http://vocab.nerc.ac.uk/collection/L05/current/388/",,
"WS18008:stnMR:200um:2018-01-09",,"875.9","flow meters","http://vocab.nerc.ac.uk/collection/L05/current/388/",,
"WS18008:stnMR:200um:2018-01-09",,"0.5","Sub-sampling coefficient","http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/"
"WS18008:stnMR:200um:2018-01-09",,"42.1357278933393","Sample volume (filtration) by measuring cylinder","http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/","per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/PCUM/"
"WS18008:stnMR:200um:2018-01-09",,"8","Sample Duration","http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/","Minutes","http://vocab.nerc.ac.uk/collection/P06/current/UMIN/"
"WS18008:stnMR:200um:2018-01-09",,"1.5","Speed of towing platform","http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/","Knots (nautical miles per hour)","http://vocab.nerc.ac.uk/collection/P06/current/UKNT/"
"WS18008:stnMR:200um:2018-01-09",,"0.447073958333333","Speed","http://vocab.nerc.ac.uk/collection/S06/current/S0600152/","Metres per second","http://vocab.nerc.ac.uk/collection/P06/current/UVAA/"
"WS18008:stnMR:200um:2018-01-09",,"200","Sampling net mesh size","http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/","Micrometres","http://vocab.nerc.ac.uk/collection/P06/current/UMIC/"
"WS18008:stnMR:200um:2018-01-09",,"microscopy","microscopy","http://vocab.nerc.ac.uk/collection/S04/current/S0419/",,
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Acrocalanus_spp:unkwn","9.49313136378098","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Acrocalanus_spp:unkwn","400","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Anomuran_larvae:larvae","6.32875424252065","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Anomuran_larvae:larvae","266.666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Brachiopod_larvae:larvae","3.16437712126033","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Brachiopod_larvae:larvae","133.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
